Accession	IFN_Virus.Control_ZscRatio	IFN_Virus.Control_qvalue	IFN_Virus.Control_statVariant
Q8IYM9	-4.882794533	5.12432e-15	VARIANT
P40305	-5.315273145	2.60741e-08	VARIANT
P09914	-3.886783183	4.97805e-10	VARIANT
P00973	-4.279945558	3.31071e-12	VARIANT
P20592	-3.165985496	7.44793e-09	VARIANT
Q9BZZ2	-4.030942721	2.44439e-09	VARIANT
A0A096LNZ9	-3.218407146	2.61444e-07	VARIANT
Q9UMW8	-4.92211077	5.3058e-10	VARIANT
Q15646	-2.759717709	0.007223515	VARIANT
Q9HB58	-3.690201996	2.29752e-09	VARIANT
Q53G44	-4.50273757	7.94882e-10	VARIANT
Q6GPH4	-3.939204833	0.000506879	VARIANT
P29728	-2.772823121	6.04755e-07	VARIANT
O14879	-2.143763322	0.00036587	VARIANT
Q16666	-3.454304571	2.53407e-10	VARIANT
Q8TCB0	-3.061142196	0.000257738	VARIANT
Q9Y6K5	-2.196184972	8.20803e-05	VARIANT
Q01628	-3.113563846	5.6554e-06	VARIANT
Q8IXQ6	-1.960287547	0.007454298	VARIANT
X6R700	-3.795045296	1.14799e-08	VARIANT
Q460N5	-1.999603784	0.002289165	VARIANT
P30530	-2.379660746	0.007088913	VARIANT
Q9BYX4	-2.209290384	0.00895931	VARIANT
Q08380	-2.759717709	0.001999242	VARIANT
Q12872	-3.624674933	0.006234818	VARIANT
Q2TB10	-3.231512558	0.005071786	VARIANT
Q9BYK8	-2.759717709	0.000614029	VARIANT
P09601	-2.916982659	0.007505755	VARIANT
P02533	-3.087353021	0.000189353	VARIANT
Q9NQS7	-2.825244771	0.003744166	VARIANT
E9PB61	-2.065130847	0.000981569	VARIANT
A0A2R8YH03	-3.428093746	0.001026535	VARIANT
A2ACR1	-3.388777508	0.006839749	VARIANT
Q92522	-3.677096583	7.40096e-10	VARIANT
P41218	-2.169974147	0.000154159	VARIANT
Q9BUM1	-4.542053808	1.60845e-07	VARIANT
P17096	-2.392766159	0.00011538	VARIANT
Q86YP4	-3.428093746	1.30446e-05	VARIANT
P07305	-3.978521071	2.95462e-12	VARIANT
P23497	-2.169974147	0.009811483	VARIANT
P16403	-3.795045296	2.75354e-12	VARIANT
Q99590	-2.943193484	0.000143189	VARIANT
X6R4W8	-2.353449921	0.00311988	VARIANT
J3KPG5	-2.405871571	0.000696963	VARIANT
P13647	-4.227523908	1.09699e-06	VARIANT
P35030	-3.912994008	1.14799e-08	VARIANT
Q9Y3B9	-2.314133684	0.005784726	VARIANT
P11387	-2.209290384	0.000104541	VARIANT
Q9NWH9	-2.969404309	0.000171292	VARIANT
Q96C01	6.309227736	4.72306e-13	VARIANT
H7BYP4	-4.646897108	0.000549733	VARIANT
P61244	-3.244617971	0.001544912	VARIANT
Q9BXS6	-3.021825959	0.006045131	VARIANT
A0A2R8Y595	-2.825244771	0.002831998	VARIANT
A0JLT2	-3.087353021	0.004752014	VARIANT
Q15424	-2.877666421	1.42075e-05	VARIANT
A0A087WY61	-1.960287547	0.000753094	VARIANT
Q13435	-2.563136521	7.31327e-05	VARIANT
A0A0A0MRM9	-2.052025434	0.002969598	VARIANT
Q99848	-2.982509721	6.43931e-06	VARIANT
P16401	-3.611569521	2.9691e-11	VARIANT
O00566	-2.484504046	5.79141e-05	VARIANT
Q9C0J8	-2.563136521	0.000253478	VARIANT
Q14151	-2.772823121	0.00565191	VARIANT
M0QY97	-3.061142196	5.4996e-05	VARIANT
Q8N7H5	-1.973392959	0.003808368	VARIANT
Q15050	-1.973392959	0.006784861	VARIANT
Q7Z333	-2.169974147	0.002494214	VARIANT
Q9H6F5	-4.161996845	0.000362185	VARIANT
Q9HAF1	-4.266840145	1.6447e-05	VARIANT
Q15059	-2.261712034	0.006103638	VARIANT
H3BMM9	-2.261712034	0.000614029	VARIANT
E7EQ64	-2.930088071	2.77499e-06	VARIANT
P12270	-2.366555334	0.001390086	VARIANT
H3BT71	-2.353449921	3.48883e-05	VARIANT
P13645-CONT	-2.812139359	4.96094e-06	VARIANT
O43290	-2.025814609	0.002090838	VARIANT
Q8IYB3	-2.930088071	1.40673e-06	VARIANT
E9PK91	-3.336355858	4.0443e-08	VARIANT
P04264-CONT	-3.165985496	3.80018e-09	VARIANT
O43395	-2.248606621	0.002969598	VARIANT
Q5QJE6	-2.314133684	0.000500951	VARIANT
P56270	-2.969404309	0.007995278	VARIANT
Q9Y2W1	-3.899888596	1.69861e-12	VARIANT
Q96T23	-2.484504046	0.002936823	VARIANT
Q14814	-2.667979821	0.001202277	VARIANT
O60832	-2.130657909	0.001471823	VARIANT
J3KTL2	-2.117552497	0.000236186	VARIANT
Q7L4I2	-3.847466946	0.007967409	VARIANT
