Accession	IFN_Virus.Virus_ZscRatio	IFN_Virus.Virus_qvalue	IFN_Virus.Virus_statVariant
P14735	-4.092825074	5.64062e-05	VARIANT
X6R700	-3.498950252	3.46049e-08	VARIANT
F8WEF5	-4.564879419	0.000878002	VARIANT
Q2TB10	-3.361902217	0.001724861	VARIANT
P02533	-2.92030299	0.000112953	VARIANT
Q9NQS7	-2.539614002	0.007528229	VARIANT
E9PB61	-2.067559657	0.000894509	VARIANT
A0A2R8YH03	-2.996440788	0.004697189	VARIANT
Q92522	-4.610562098	2.71157e-15	VARIANT
Q08AF3	-2.996440788	0.007284863	VARIANT
Q96QD9	-2.570069121	0.007071163	VARIANT
P17096	-2.524386443	1.28659e-05	VARIANT
H0YHG0	-2.219835252	0.001979951	VARIANT
Q86YP4	-3.2553093	2.36678e-06	VARIANT
P07305	-4.656244776	2.71157e-15	VARIANT
Q99684	-2.29597305	0.00094006	VARIANT
P16403	-4.306010907	2.71157e-15	VARIANT
Q99590	-2.676662038	0.000100761	VARIANT
X6R4W8	-3.011668348	9.82765e-05	VARIANT
J3KPG5	-1.991421859	0.004836772	VARIANT
P13647	-2.768027395	4.63607e-05	VARIANT
P35030	-4.260328228	2.46535e-11	VARIANT
Q9Y3B9	-2.28074549	0.00452468	VARIANT
P11387	-2.402565967	1.09849e-06	VARIANT
Q9NWH9	-3.544632931	2.94508e-07	VARIANT
Q8TAD8	5.561447664	9.1308e-07	VARIANT
E7ENY0	3.216403498	0.007193389	VARIANT
Q9P0T7	3.871188557	0.004095349	VARIANT
Q6IA86	4.084374391	0.000744968	VARIANT
K7EJF0	4.571656295	0.000343573	VARIANT
Q96C01	6.947155581	2.71157e-15	VARIANT
B9EGQ5	-6.163773169	1.40609e-06	VARIANT
P61244	-3.438040014	0.000517106	VARIANT
Q9BXS6	-3.407584895	0.001724861	VARIANT
Q9Y2W2	-3.179171502	5.05575e-05	VARIANT
A0A2R8Y595	-3.209626621	0.000812244	VARIANT
A0JLT2	-3.163943943	0.003578596	VARIANT
P05114	-4.397376264	1.0203e-05	VARIANT
Q15424	-2.509158883	0.000111267	VARIANT
Q8NFC6	-3.57508805	0.00628265	VARIANT
K7EK77	3.018445224	4.74719e-05	VARIANT
A0A087WY61	-1.9761943	9.31614e-05	VARIANT
Q13435	-2.341655728	1.78369e-05	VARIANT
Q99848	-3.757818764	1.06326e-12	VARIANT
P16401	-4.412603824	2.71157e-15	VARIANT
O00566	-2.174152574	0.000254147	VARIANT
Q9C0J8	-2.722344717	6.63772e-05	VARIANT
Q14151	-3.514177812	5.67566e-06	VARIANT
M0QY97	-3.605543169	8.51076e-08	VARIANT
Q8N7H5	-2.265517931	0.000511466	VARIANT
Q15050	-2.311200609	2.14742e-05	VARIANT
Q5T200	-2.6157518	0.001430109	VARIANT
Q9H6F5	-3.605543169	0.00094517	VARIANT
Q9HAF1	-5.615581026	5.08804e-09	VARIANT
