Accession	IFN_Virus.IFN_ZscRatio	IFN_Virus.IFN_qvalue	IFN_Virus.IFN_statVariant
Q96EV2	-10.62494466	1.86108e-15	VARIANT
Q8IYM9	-8.277169976	1.86108e-15	VARIANT
P40305	-7.950021045	1.86108e-15	VARIANT
Q9H9L3	-7.468919676	1.86108e-15	VARIANT
P09914	-6.853109923	1.86108e-15	VARIANT
P00973	-6.391252608	1.86108e-15	VARIANT
P20592	-6.295032334	1.86108e-15	VARIANT
Q9BZZ2	-5.967883403	1.86108e-15	VARIANT
A0A096LNZ9	-5.871663129	1.86108e-15	VARIANT
Q9UMW8	-5.871663129	3.03607e-13	VARIANT
Q15646	-5.833175019	7.80933e-14	VARIANT
Q9HB58	-5.659978526	1.86108e-15	VARIANT
P09913	-5.544514198	1.86108e-15	VARIANT
Q53G44	-5.409805814	1.86108e-15	VARIANT
Q6UWU4	-5.332829595	1.18175e-06	VARIANT
Q6GPH4	-5.217365266	1.46578e-09	VARIANT
P29728	-5.082656883	1.86108e-15	VARIANT
Q9UMY1	-4.947948499	3.44444e-08	VARIANT
A0A2U3TZJ3	-4.90946039	9.6957e-09	VARIANT
O14879	-4.851728225	1.10198e-12	VARIANT
P14923	-4.813240116	0.00537647	VARIANT
A0A0G2JNE9	-4.793996061	2.87017e-06	VARIANT
A0A3B3IRQ9	-4.736263897	7.80933e-14	VARIANT
A0A1W2PPV8	-4.697775787	7.68516e-05	VARIANT
Q16666	-4.582311459	2.44454e-13	VARIANT
Q8TCB0	-4.447603075	3.35291e-12	VARIANT
Q9Y6K5	-4.447603075	2.14597e-12	VARIANT
Q12962	-4.447603075	5.06896e-07	VARIANT
Q9NNX6	-4.447603075	1.55227e-08	VARIANT
Q01628	-4.42835902	8.32944e-10	VARIANT
Q8IXQ6	-4.42835902	6.27326e-10	VARIANT
P14735	-4.312894692	2.87017e-06	VARIANT
Q9Y3C1	-4.293650637	2.58465e-08	VARIANT
X6R700	-4.274406582	4.70138e-10	VARIANT
Q460N5	-4.274406582	2.17157e-10	VARIANT
Q9Y3D5	-4.178186308	8.47194e-06	VARIANT
