Accession	Virus.Control_ZscRatio	Virus.Control_qvalue	Virus.Control_statVariant
Q6UWU4	5.974044102	0.000433741	VARIANT
Q9UMY1	7.741532315	2.2704e-15	VARIANT
Q12962	3.773701633	0.00058426	VARIANT
Q9Y3D5	3.286740595	0.007001523	VARIANT
Q8IY26	3.106384655	0.007463976	VARIANT
Q9NZV5	4.964050838	0.000152556	VARIANT
Q92522	-2.881432556	4.05626e-05	VARIANT
Q86YP4	-2.502685082	0.004556904	VARIANT
P07305	-3.025717308	2.41929e-09	VARIANT
P16403	-3.296251219	2.2704e-15	VARIANT
P35030	-3.350358001	1.67375e-05	VARIANT
P61769	2.060320202	0.001194241	VARIANT
Q9Y4K3	-3.981603791	4.31344e-07	VARIANT
H0YIN8	-3.494642753	0.002538506	VARIANT
Q9P0T7	-4.648920769	0.001882046	VARIANT
Q86V48	5.811723756	0.00228105	VARIANT
Q9UNN5	6.046186479	8.51161e-13	VARIANT
K7EK77	5.613332222	2.2704e-15	VARIANT
Q99848	-2.35840033	1.19036e-05	VARIANT
P16401	-3.224108843	2.2704e-15	VARIANT
J3KMZ9	3.394954159	0.003935088	VARIANT
E7EQ64	-2.665005428	3.87922e-08	VARIANT
P12270	-2.123937608	0.000115715	VARIANT
P13645-CONT	-1.961617262	9.93151e-05	VARIANT
Q9Y5Z4	3.467096535	0.000309329	VARIANT
Q8IYB3	-2.755183398	1.6784e-05	VARIANT
E9PK91	-3.007681714	3.97785e-09	VARIANT
P04264-CONT	-2.683041022	1.56428e-09	VARIANT
Q9Y2W1	-3.548749535	4.66439e-14	VARIANT
Q7L4I2	-4.234102107	0.005498432	VARIANT
P55081	-3.025717308	1.0251e-05	VARIANT
P49716	-4.161959731	8.98103e-05	VARIANT
P35527-CONT	-2.592863052	3.8551e-09	VARIANT
Q8IWI9	-2.755183398	0.006282073	VARIANT
P30414	-3.765176663	0.00130471	VARIANT
Q8WXI9	-2.232151172	0.00024519	VARIANT
O00767	-4.865347897	5.8705e-09	VARIANT
Q9NSI2	-3.801247851	0.000874404	VARIANT
Q8N511	4.711552522	0.000268211	VARIANT
Q9UKV3	-2.520720676	6.12072e-07	VARIANT
E7ERS3	-2.755183398	0.001139992	VARIANT
Q5TEC6	-3.386429189	0.004040784	VARIANT
Q9Y3A2	-3.422500377	0.00061448	VARIANT
Q9C0B5	4.188520296	7.34983e-05	VARIANT
Q9BUH6	-5.496593688	6.34117e-11	VARIANT
P06748	-2.53875627	1.73839e-10	VARIANT
P49750	-2.08786642	0.004666619	VARIANT
P62341	4.422983018	4.39852e-06	VARIANT
Q9BVJ6	-2.430542706	0.001385101	VARIANT
Q9H0X4	4.332805048	0.000510227	VARIANT
Q9P0M6	-2.340364736	0.000600311	VARIANT
O75940	-3.476607159	0.004157435	VARIANT
Q71UI9	-1.979652856	1.31258e-06	VARIANT
Q8IWZ8	-4.071781761	0.000435409	VARIANT
P62805	-1.99768845	1.04207e-06	VARIANT
Q8NCN2	-4.432493641	0.000499643	VARIANT
P06702	-4.288208889	0.004879742	VARIANT
Q9UBW7	-2.53875627	0.007959342	VARIANT
A6NNK5	-2.160008796	0.005332939	VARIANT
Q96GC6	-2.827325774	0.00955408	VARIANT
Q14137	3.232633813	4.66439e-14	VARIANT
P31260	-4.901419085	5.2924e-06	VARIANT
Q9GZL7	2.944064309	1.59189e-08	VARIANT
Q9BX59	-4.739098739	0.003891354	VARIANT
I3L3Y9	-7.101761555	4.32282e-13	VARIANT
Q9NRR5	-2.953574932	2.76475e-05	VARIANT
O00291	2.457103271	0.008242922	VARIANT
P10586	2.204604954	4.29136e-06	VARIANT
Q8TD55	4.224591484	0.000255441	VARIANT
Q15388	2.889957527	1.43933e-07	VARIANT
O76062	-5.244095372	8.72356e-05	VARIANT
P08670	2.204604954	4.07852e-06	VARIANT
B5MCF9	2.511210053	9.91499e-06	VARIANT
P62140	3.593345693	1.24532e-07	VARIANT
J3KQN4	4.783694898	1.78983e-07	VARIANT
Q9UPW0	-3.278215625	0.001149171	VARIANT
A0A0U1RRL7	-4.396422453	0.005500886	VARIANT
Q8NBL1	3.719594851	7.52238e-05	VARIANT
Q9NP66	-2.89946815	0.005742237	VARIANT
Q7L7X3	-4.721063145	0.001946878	VARIANT
Q92917	-4.486600423	1.04182e-06	VARIANT
Q6IN84	-4.468564829	0.004191188	VARIANT
A0A0C4DGT8	-5.027668244	1.95557e-05	VARIANT
Q99735	-4.017674979	1.79852e-13	VARIANT
G3V5V3	2.835850745	0.002283328	VARIANT
Q9UH65	-3.206073249	0.003961964	VARIANT
Q9BUL8	-3.440535971	0.000464988	VARIANT
P27540	-7.119797149	1.0028e-06	VARIANT
Q8NCA5	-4.937490274	0.000808903	VARIANT
P33947	-4.793205521	0.001355163	VARIANT
Q15819	-4.198030919	0.003818216	VARIANT
P16949	-4.017674979	1.02899e-05	VARIANT
O95070	-2.773218992	0.001859574	VARIANT
Q96G25	-3.404464783	0.002195829	VARIANT
Q6RW13	2.998171091	0.003772511	VARIANT
P28070	-4.161959731	0.000261772	VARIANT
F5H8H2	3.214598219	0.003181202	VARIANT
Q96EX1	3.954057573	0.005062723	VARIANT
Q9H2V7	-3.620891911	0.00143666	VARIANT
