entrezgene_id	uniprot_gn_id	hgnc_symbol
54665	A0A0C4DGT8	RSBN1
101410538	A0A0U1RRL7	MMP24OS
7158	A6NNK5	TP53BP1
23481	B5MCF9	PES1
5644	E7EQ64	PRSS1
124245	E7ERS3	ZC3H18
9774	E9PK91	BCLAF1
4598	F5H8H2	MVK
9147	G3V5V3	NEMF
6173	J3KQN4	RPL36A
498	K7EK77	ATP5F1A
3092	O00291	HIP1
6319	O00767	SCD
10285	O75940	SMNDC1
7108	O76062	TM7SF2
10897	O95070	YIF1A
6280	P06702	S100A9
4869	P06748	NPM1
3005	P07305	H1-0
7431	P08670	VIM
5792	P10586	PTPRF
7175	P12270	TPR
3009	P16401	H1-5
3006	P16403	H1-2
3925	P16949	STMN1
405	P27540	ARNT
5692	P28070	PSMB4
4820	P30414	NKTR
3206	P31260	HOXA10
11014	P33947	KDELR2
5646	P35030	PRSS3
1052	P49716	CEBPD
56252	P49750	YLPM1
4236	P55081	MFAP1
567	P61769	B2M
5500	P62140	PPP1CB
51714	P62341	SELENOT
8294	P62805	H4C9
8363	P62805	H4C11
8362	P62805	H4C12
8368	P62805	H4C13
8359	P62805	H4C1
8366	P62805	H4C2
8364	P62805	H4C3
8360	P62805	H4C4
8367	P62805	H4C5
8361	P62805	H4C6
8365	P62805	H4C8
121504	P62805	H4-16
8370	P62805	H4C14
554313	P62805	H4C15
6881	Q12962	TAF10
23246	Q14137	BOP1
9804	Q15388	TOMM20
7336	Q15819	UBE2V2
440686	Q5TEC6	H3-2
79922	Q6IN84	MRM1
57085	Q6RW13	AGTRAP
221477	Q6UWU4	C6orf89
94239	Q71UI9	H2AZ2
65117	Q7L4I2	RSRC2
57551	Q7L7X3	TAOK1
7798	Q86V48	LUZP1
54815	Q86YP4	GATAD2A
23269	Q8IWI9	MGA
57794	Q8IWZ8	SUGP1
403313	Q8IY26	PLPP6
10250	Q8IYB3	SRRM1
147007	Q8N511	TMEM199
56983	Q8NBL1	POGLUT1
25940	Q8NCA5	FAM98A
403341	Q8NCN2	ZBTB34
80301	Q8TD55	PLEKHO2
57459	Q8WXI9	GATAD2B
8971	Q92522	H1-10
27238	Q92917	GPKOW
113444	Q96EX1	SMIM12
112950	Q96G25	MED8
10782	Q96GC6	ZNF274
4258	Q99735	MGST2
10969	Q99848	EBNA1BP2
286257	Q9BUH6	PAXX
11235	Q9BUL8	PDCD10
10813	Q9BVJ6	UTP14A
55080	Q9BX59	TAPBPL
25921	Q9C0B5	ZDHHC5
55759	Q9GZL7	WDR12
83986	Q9H0X4	FAM234A
83985	Q9H2V7	SPNS1
10363	Q9NP66	HMG20A
56893	Q9NRR5	UBQLN4
85395	Q9NSI2	FAM207A
57190	Q9NZV5	SELENON
55506	Q9P0M6	MACROH2A2
252839	Q9P0T7	TMEM9
7750	Q9UBW7	ZMYM2
23075	Q9UH65	SWAP70
22985	Q9UKV3	ACIN1
51406	Q9UMY1	NOL7
11124	Q9UNN5	FAF1
22887	Q9UPW0	FOXJ3
9967	Q9Y2W1	THRAP3
51118	Q9Y3A2	UTP11
51023	Q9Y3D5	MRPS18C
7189	Q9Y4K3	TRAF6
23593	Q9Y5Z4	HEBP2
