Accession	IFN.Control_ZscRatio	IFN.Control_qvalue	IFN.Control_statVariant
Q8IYM9	-2.70092025	1.18483e-07	VARIANT
P40305	-8.286817344	1.08217e-15	VARIANT
P09914	-6.906272435	1.08217e-15	VARIANT
P00973	-6.630163453	1.08217e-15	VARIANT
P20592	-6.141662947	1.08217e-15	VARIANT
Q9BZZ2	-7.416012094	1.08217e-15	VARIANT
A0A096LNZ9	-4.527487361	1.08217e-15	VARIANT
Q9UMW8	-8.15938243	1.08217e-15	VARIANT
Q15646	-3.253138214	0.000207711	VARIANT
Q9HB58	-4.761118038	1.08217e-15	VARIANT
P09913	-2.764637707	1.3673e-09	VARIANT
Q53G44	-7.267338027	1.08217e-15	VARIANT
Q6GPH4	-6.205380404	1.45618e-10	VARIANT
P29728	-4.846074647	1.08217e-15	VARIANT
A0A2U3TZJ3	-4.400052446	1.39005e-05	VARIANT
O14879	-4.888552952	1.08217e-15	VARIANT
A0A3B3IRQ9	-2.998268384	1.50316e-06	VARIANT
Q16666	-3.083224994	1.08217e-15	VARIANT
Q8TCB0	-4.272617531	1.08744e-12	VARIANT
Q9Y6K5	-3.65668211	1.08217e-15	VARIANT
Q9NNX6	-4.633683123	1.08217e-15	VARIANT
Q01628	-4.633683123	1.08217e-15	VARIANT
Q8IXQ6	-2.743398555	2.7533e-11	VARIANT
P14735	4.477913278	0.000132792	VARIANT
Q460N5	-4.357574141	1.08217e-15	VARIANT
A0A3B3ITK7	-3.401812281	0.00324625	VARIANT
P30530	-4.803596343	1.08217e-15	VARIANT
Q9BYX4	-3.996508549	1.13046e-13	VARIANT
Q08380	-4.676161428	1.08217e-15	VARIANT
Q12872	-4.824835495	0.000429844	VARIANT
P20591	-3.762877873	1.08217e-15	VARIANT
Q9BQD7	-4.846074647	0.000186386	VARIANT
O95786	-2.892072622	5.37631e-10	VARIANT
Q96DX8	-3.65668211	2.46253e-05	VARIANT
Q9BYK8	-4.017747702	5.75507e-13	VARIANT
P09601	-5.143422782	3.18143e-09	VARIANT
C9JWG4	-3.932791092	6.21643e-09	VARIANT
Q03518	-2.424811268	2.62944e-13	VARIANT
Q10589	-3.486768891	1.08217e-15	VARIANT
Q8IVG5	-3.677921263	5.59141e-08	VARIANT
P0DPB6	-3.274377366	0.004450378	VARIANT
Q8TDB6	-2.552246183	1.81475e-08	VARIANT
P41218	-2.403572116	4.84756e-13	VARIANT
O15162	-2.212419744	0.001673558	VARIANT
A0A0A0MTR7	-2.276137201	9.04367e-12	VARIANT
X5CMH5	-2.637202793	1.08217e-15	VARIANT
Q96A46	-2.913311775	0.000133883	VARIANT
P19525	-2.106223981	2.25663e-09	VARIANT
Q9H0J9	-3.550486348	1.08217e-15	VARIANT
O14657	-2.361093811	8.08885e-06	VARIANT
O00182	-2.509767878	1.27349e-11	VARIANT
P10316	-2.573485335	1.08217e-15	VARIANT
Q01518	2.5026721	1.19377e-11	VARIANT
Q9P0T7	-5.015987867	0.000104283	VARIANT
O94919	-2.87083347	0.001862043	VARIANT
B9EGQ5	5.667305815	0.004938445	VARIANT
H3BTQ1	4.456674125	0.003231284	VARIANT
E5RGZ2	-2.658441945	3.31272e-05	VARIANT
P34810	-2.594724488	0.000132366	VARIANT
Q9P2E9	-2.467289573	3.31872e-10	VARIANT
A0A140T9M0	-2.679681098	8.69443e-13	VARIANT
Q8N9N5	-2.106223981	1.32681e-05	VARIANT
A0A140T8X0	-5.674401593	1.65801e-12	VARIANT
Q6DKI2	-2.403572116	5.10578e-08	VARIANT
P28907	-2.849594317	3.33574e-07	VARIANT
Q9Y287	-4.251378379	2.44021e-07	VARIANT
Q13571	-2.212419744	0.001286148	VARIANT
Q9NRB3	-2.764637707	0.003587223	VARIANT
P30414	-2.70092025	0.007242217	VARIANT
O75820	-6.693880911	0.000252618	VARIANT
O00767	-8.031947515	1.08217e-15	VARIANT
Q9BUH6	-5.801836508	1.08217e-15	VARIANT
Q96QV6	2.5026721	1.55203e-11	VARIANT
G3V3E8	-2.233658896	0.000199679	VARIANT
F5H0R1	-2.446050421	0.006789916	VARIANT
P06756	-5.546966678	1.63261e-05	VARIANT
P30533	-2.552246183	6.07165e-06	VARIANT
Q96BW5	7.345198859	8.72112e-09	VARIANT
P31260	-5.971749727	5.67938e-09	VARIANT
E5RIK9	-3.146942451	0.001389149	VARIANT
Q9BX59	-5.73811905	8.8284e-07	VARIANT
Q9NQT4	3.076129216	0.000321065	VARIANT
A0A0C4DFL8	6.007132254	4.98404e-09	VARIANT
Q9Y5A9	-3.189420756	0.000113492	VARIANT
A0A0U1RR22	3.861977857	1.77149e-07	VARIANT
J3KQN4	5.285001071	1.08217e-15	VARIANT
O95379	2.821259387	0.004501591	VARIANT
A0A0U1RRL7	-5.865553965	0.000118409	VARIANT
K7EK56	-4.442530751	3.95704e-07	VARIANT
Q9UI43	-4.931031257	1.29778e-10	VARIANT
A0A0A0MT16	-5.99298888	3.48418e-06	VARIANT
O75170	4.095608534	0.000817713	VARIANT
Q9H147	2.247802271	0.00502148	VARIANT
Q01968	2.290280576	0.009651332	VARIANT
Q9H0E9	5.497392596	9.92191e-05	VARIANT
Q92917	-4.633683123	3.7087e-13	VARIANT
Q6IN84	-4.463769903	0.001270024	VARIANT
A0A024R442	-5.398292611	1.13003e-10	VARIANT
Q9Y672	3.564629723	6.50723e-08	VARIANT
A0A0C4DGT8	-4.145182617	0.003544141	VARIANT
Q99735	-3.975269397	1.08217e-15	VARIANT
Q9BUL8	-4.060226007	2.20443e-07	VARIANT
Q8WUB8	3.182324979	0.000437013	VARIANT
Q5VT66	4.053130229	8.69265e-06	VARIANT
Q15750	-3.146942451	0.00303612	VARIANT
Q8NCA5	-3.996508549	0.005661321	VARIANT
P61086	-2.318615506	0.006052918	VARIANT
P16949	-4.421291598	1.88936e-12	VARIANT
H0YJJ4	3.330999046	5.51763e-07	VARIANT
F5H8H2	3.777021247	2.77079e-06	VARIANT
Q9BR61	-5.589444983	1.48988e-05	VARIANT
O95630	-5.079705324	8.41201e-05	VARIANT
Q8TF64	5.008892089	4.08466e-08	VARIANT
Q8IUR0	-5.185901087	3.03895e-11	VARIANT
Q9UBH6	-2.934550927	0.004450677	VARIANT
Q9NTZ6	5.70978412	1.75939e-07	VARIANT
P52888	3.161085826	0.006486353	VARIANT
O14832	5.688544968	2.41459e-05	VARIANT
O75173	2.75754193	0.001600691	VARIANT
Q9H2V7	-4.69740058	1.31733e-08	VARIANT
Q5T123	-8.541687174	1.08217e-15	VARIANT
