"alias","name","Organism Taxon Id","represents","selected","shared name","type"
,"vpr","11676","ncbigene:155807","false","vpr","protein"
"Cus1|SAP145|SF3B145|SF3b1|SF3b150","SF3B2","9606","ncbigene:10992","false","SF3B2","protein"
,"tat","11676","ncbigene:155871","false","tat","protein"
"CCNT|CYCT1|HIVE1","CCNT1","9606","ncbigene:904","false","CCNT1","protein"
"BAF190|BAF190A|BRG1|MRD16|RTPS2|SNF2|SNF2L4|SNF2LB|SWI2|hSNF2b","SMARCA4","9606","ncbigene:6597","false","SMARCA4","protein"
"BAF47|INI1|MRD15|PPP1R144|RDT|RTPS1|SNF5|SNF5L1|SWNTS1|Sfh1p|Snr1|hSNFS","SMARCB1","9606","ncbigene:6598","false","SMARCB1","protein"
"BIG-3|CFAP89|SWD3","WDR5","9606","ncbigene:11091","false","WDR5","protein"
"CDC68|FACTP140|SPT16/CDC68","SUPT16H","9606","ncbigene:11198","false","SUPT16H","protein"
"ACTL6|ARPN-BETA|Arp4|BAF53A|INO80K","ACTL6A","9606","ncbigene:86","false","ACTL6A","protein"
"ISWI|SNF2H|WCRF135|hISWI|hSNF2H","SMARCA5","9606","ncbigene:8467","false","SMARCA5","protein"
"GON-10|HD1|RPD3|RPD3L1","HDAC1","9606","ncbigene:3065","false","HDAC1","protein"
"RbAp46","RBBP7","9606","ncbigene:5931","false","RBBP7","protein"
"NURF55|RBAP48|lin-53","RBBP4","9606","ncbigene:5928","false","RBBP4","protein"
"2HOR0202|SAP18P","SAP18","9606","ncbigene:10284","false","SAP18","protein"
,"SIN3A","9606","ncbigene:25942","false","SIN3A","protein"
"Hs.54452|IK1|IKAROS|LYF1|LyF-1|PPP1R92|PRO0758|ZNFN1A1","IKZF1","9606","ncbigene:10320","false","IKZF1","protein"
,"MTA1","9606","ncbigene:9112","false","MTA1","protein"
"C-2k|CDC2L4|CTK1|PITALRE|TAK","CDK9","9606","ncbigene:1025","false","CDK9","protein"
"H2A.X|H2A/X|H2AX","H2AFX","9606","ncbigene:3014","false","H2AFX","protein"
"CBP|KAT3A|RSTS","CREBBP","9606","ncbigene:1387","false","CREBBP","protein"
"IRF-1|MAR","IRF1","9606","ncbigene:3659","false","IRF1","protein"
,"env","11676","ncbigene:155971","false","env","protein"
"CD4mut","CD4","9606","ncbigene:920","false","CD4","protein"
,"gag-pol","11676","ncbigene:155348","false","gag-pol","protein"
,"SP1","9606","ncbigene:6667","false","SP1","protein"
"CIG|ED-B|FINC|FN|FNZ|GFND|GFND2|LETS|MSF","FN1","9606","ncbigene:2335","false","FN1","protein"
"BOV-1A|BOV-1B|BOV-1C|C1DELq21.1|DEL1q21.1|MDS014|RBM8|RBM8B|TAR|Y14|ZNRP|ZRNP1","RBM8A","9606","ncbigene:9939","false","RBM8A","protein"
,"gag","11676","ncbigene:155030","false","gag","protein"
"HEED|WAIT1","EED","9606","ncbigene:8726","false","EED","protein"
"16.3A5|1F5|EJ16|EJ30|EL32|G344|HRF-20|HRF20|MAC-IP|MACIF|MEM43|MIC11|MIN1|MIN2|MIN3|MIRL|MSK21|p18-20","CD59","9606","ncbigene:966","false","CD59","protein"
"CD90","THY1","9606","ncbigene:7070","false","THY1","protein"
"LAMP-3|ME491|MLA1|OMA81H|TSPAN30","CD63","9606","ncbigene:967","false","CD63","protein"
,"nef","11676","ncbigene:156110","false","nef","protein"
"AP47|CLAPM2|CLTNM|MU-1A","AP1M1","9606","ncbigene:8907","false","AP1M1","protein"
,"AP3M1","9606","ncbigene:26985","false","AP3M1","protein"
"CD3-ZETA|CD3H|CD3Q|CD3Z|IMD25|T3Z|TCRZ","CD247","9606","ncbigene:919","false","CD247","protein"
,"vpu","11676","ncbigene:155945","false","vpu","protein"
"CD317|TETHERIN","BST2","9606","ncbigene:684","false","BST2","protein"
,"rev","11676","ncbigene:155908","false","rev","protein"
"EIF2C2|Q10","AGO2","9606","ncbigene:27161","false","AGO2","protein"
"HLR2|P54|RCK","DDX6","9606","ncbigene:1656","false","DDX6","protein"
