Accession	IFN.Control_qvalue	Virus.Control_qvalue	IFN_Virus.Control_qvalue	IFN_Virus.Virus_qvalue	IFN_Virus.IFN_qvalue										
Q96EV2			0.315829604	0.110415556	1.86108E-15										
Q8IYM9	1.18483E-07	0.9669462	5.12432E-15	0.001087737	1.86108E-15										
P40305	1.08217E-15		2.60741E-08	0.97864118	1.86108E-15										
Q9H9L3	0.69023088	0.631571041	0.050955331	0.045059156	1.86108E-15										
P09914	1.08217E-15	0.681197944	4.97805E-10	0.999986423	1.86108E-15										
P00973	1.08217E-15	0.994907957	3.31071E-12	0.933714062	1.86108E-15										
P20592	1.08217E-15	0.005901257	7.44793E-09	0.837321883	1.86108E-15										
Q9BZZ2	1.08217E-15	0.965510641	2.44439E-09	0.998713767	1.86108E-15										
A0A096LNZ9	1.08217E-15	0.921509135	2.61444E-07	0.849151385	1.86108E-15										
Q9UMW8	1.08217E-15	0.510856206	5.3058E-10	0.97379603	3.03607E-13										
Q15646	0.000207711	0.794359318	0.007223515	0.764408074	7.80933E-14										
Q9HB58	1.08217E-15	0.968270017	2.29752E-09	0.059117582	1.86108E-15										
P09913	1.3673E-09	0.094040969	0.074344024	0.999986423	1.86108E-15										
Q53G44	1.08217E-15	0.917163076	7.94882E-10	0.788981212	1.86108E-15										
Q6UWU4	0.254756646	0.000433741	0.999071671	0.2303767	1.18175E-06										
Q6GPH4	1.45618E-10	0.968270017	0.000506879	0.998713767	1.46578E-09										
P29728	1.08217E-15	0.126214902	6.04755E-07	0.999986423	1.86108E-15										
Q9UMY1	0.972216217	2.2704E-15	0.157918482	0.045128857	3.44444E-08										
A0A2U3TZJ3	1.39005E-05	0.98504764	0.018751265	0.999986423	9.6957E-09										
O14879	1.08217E-15	0.582716607	0.00036587	0.899632676	1.10198E-12										
P14923	0.995524374		0.993346784	0.970356288	0.00537647										
A0A0G2JNE9	0.558852671	0.471270991	0.044988704	0.5064584	2.87017E-06										
A0A3B3IRQ9	1.50316E-06	0.396572713	0.011534688	0.879212139	7.80933E-14										
A0A1W2PPV8	0.936215922	0.296648996	0.575892731	0.422782008	7.68516E-05										
Q16666	1.08217E-15	0.537446198	2.53407E-10	0.000437295	2.44454E-13										
Q8TCB0	1.08744E-12	0.992898869	0.000257738	0.796370881	3.35291E-12										
Q9Y6K5	1.08217E-15	0.920656547	8.20803E-05	0.999986423	2.14597E-12										
Q12962	0.809290678	0.00058426	0.942456104	0.438664515	5.06896E-07										
Q9NNX6	1.08217E-15	0.492844403	0.239294633	0.632533476	1.55227E-08										
Q01628	1.08217E-15	0.984453379	5.6554E-06	0.91363465	8.32944E-10										
Q8IXQ6	2.7533E-11	0.643664101	0.007454298	0.944718789	6.27326E-10										
P14735	0.000132792	0.56765382	0.989792267	5.64062E-05	2.87017E-06										
Q9Y3C1	0.633182892	0.324968049	0.143292206	0.39551843	2.58465E-08										
