Accession	"Abundance: F1: Sample, CTRL"	"Abundance: F2: Sample, CTRL"	"Abundance: F3: Sample, CTRL"	"Abundance: F4: Sample, IFN"	"Abundance: F5: Sample, IFN"	"Abundance: F6: Sample, IFN"	"Abundance: F7: Sample, VIRUS"	"Abundance: F8: Sample, VIRUS"	"Abundance: F9: Sample, VIRUS"	"Abundance: F10: Sample, IFN VIRUS"	"Abundance: F11: Sample, IFN VIRUS"	"Abundance: F12: Sample, IFN VIRUS"
Q02742	516517.2813	451509.7188	435016.6563	781634.1875	1112720.25	519355.1563	534530	432514.1563	308651.9375	889908.5	776914	615756.0625
Q8N490	2211915.5	1411477.75	2273507.5	2450199	3244284.75	1489730.25	294583.3438	1080573.5	1126545.375	716443.625	875556.4375	590378.5625
Q8N5C7	353086.75	276116.4063		328183.5	237974.6406	320412.8125	411694.0313	406363.125	400658.5	419903.6875	245966.6563	68269.39844
H3BUT5	214305.9531	113717.3594	196391.2813	225348.25	250944.6094	185761.9844	146261.75	208911.0313	143268.875	174610.625	225467.7656	160806.4375
Q9BUL9	264479.0313	167477.25	265863.25	284617.9688	322682.6563	267629.8125	257162.3594	303261.375	440767.4375	310867.0625	450935.2188	307533.7813
Q9UBS0	392443.8438	466211.9688	356526.7227	575159.5625	834296.4844	269127.4688		676445.4375	423468.75	142546.375		304427.5313
Q96B33	11539.24902	6679.342773	16245.05859	17832.22266	18135.55469	14552.85352	3590.209717	3813.600342	4407.524902	11379.50879	10692.13672	10476.33789
A0A087WVM1	105485	219364.3125	241415.3281	183784.0625		107587.6719	182209.7188	177820.9531	285337.9375	238527.3125	155162.8438	195434.9531
O95382	249986.1797	124848.4414	333493.7109	142398.5742	69445.69531	140996.668	152365.5898	52078.46094	114459.9063	132057.543	52094.0625	112369.6953
C9JLH5	178986.2031	159279.8438	273184.3438	273641.0625	257563.5469	169522	219963.3594	364318.25	289946.0938	180375.5938	186400.5156	181047.5938
Q9Y3P4												
Q96IK0												
O75081	194318.5156	920536.6875								1373195.375	555019.6875	812860.25
Q02318												
O14893	197803.6094	130931.2891	218120.7344	115456.9219	86333.125	102414.0156	34375.57813	148953.0469	127599.8125	72780.91406	43672.33594	41895.23047
Q32MK0	2887152.5	2027710.125	3237359.5	2413086	2639015.75	2187585.5	2638631	3627192	2385915.25	2237407.75	2131783.25	1967576.375
Q96BP2	1086898.875	354535.0625	533885	711536.1875	659118.3125	359940.2813	337593.9375	303198.125		461176.625	225512.7813	
A0A087WYM3		119869.6016	216363.4375		147176.0469	100081.6563	77696.69531	75926.875	94701.49219			
H0Y997				254719.4531	158791.0625	126511.125		115364.8828	105782.1172	230607.25	138743.9375	182529.5938
Q147X3		365640.4063	455856.4375	738769.75	308034.4688	235802.8125	123980.8672	176929.7813		439019.6563	174835.9531	298688.1875
Q9Y5X2	168974.1719	123859.1016	202871.0625	143566.6719	142910.3594	111272.9063	56025.35156	118897.3281	165921.6719	95991.17188	61080.03125	60006.95313
Q9Y6V0	40627.28516		60649.25781	518389.3438	1049540.5	778571.0625	529571.9375	47684.14453	267923.2813	670900.1875	46370.88281	288323.5
Q9NPA8	584135.0313	387470.75	712433.6875	946642.5	786038.1563	832433.9063	1697839.063	812009.0313	1454746.438	1651120.5	1085327.031	1126396.281
Q16880	85859.83594	75439.01563	194068.8125	180249	153046.6719	93589.50781	28975.91211	92200.375	98514.25781	90324.85156	76799.17969	75088.3125
Q16560	81807.33594	44870.33594	72337.85938	45410.30078	58272.46094	69494.16406		39173.71875	103174.5156	95243.92969	78360.76563	61671.49219
Q99467	58755.91406	42181.78906	67049.49219		35298.03516	55245.71484						
F5GWH5	8327486	4187843.5	7093261.5	7508084	8234451	5047805.5	6767991.5	5582099	6564277.5	7075095	6209114	6235297.5
Q562F6												
C9JTA8												
O15347				181022.0938	203821.9375			270137.5938	502396.125	215857.625	253709.5156	231346.9375
Q8WVI0	516078.9688	554625.25	1139647.625		1092829	527864.9375						
Q9BQP9		945570.875	2150699.25	2372330	2162455	1696321.875	1776576.25	1803975.75	1833201.75	1546285.5	1741264.375	2198999
G3V207	1780627.375	1094211.188	2440187.594	2189605.5	2108687.875	1459215.719	1506515.406	1652091.25	2166522.813	2132871.844	1970536.563	2015979.375
P05543	348711.8125	209772.2188	415868.8438	398288.0938		296306.2813	289049.1875	437545.0313	274130.2813	252511.5	198308.0781	281923.2813
E7EW28	1032237.875	474053.5938	312747.9688	851452.75	1083947.313	773263.3438	800024.4375	913726.2656	796754.8125	926571.375	765482.6094	646387.7813
P27449												
A0A0A0MTE1												
E9PMV2	2124548.25	1902660.25	3124196	2271266.5	3368860.875	2322452.125	1602949.75	1937006.813	1994937.688	2711085.125	2160243.938	2073594.688
H0Y702												
O75487	213636.1719	68168.65625	303239.75	198304.125	230121.5781	121058.75	323842.4688	127979.4922	134151.8906	169838.9219	205464.9844	229370.0625
P42568		126460.0625	95697.61719		284639.4688	130778.375	120155.0156	321607.2813	545496.875			
O14519		148185.2031	107842.8984	122538.5781	159255.1875	129113.3359	270924.6563	147704.6094	505798.9375	369908.2813	333237.9375	221992.5156
Q96IP4				209981.3594	325221.2188	144374.8594	199128.8438	171171.2969	106284.3828	187323.5	213891.4531	220381.0938
P55083	162789.1563		87435.36719				343678.0625	302091.5938				
A0A0B4J286	414754.125	186805.6719	527722.0625		238444.625	299171.9063		288415.4688	279187.9375	298504.2188	200503.7188	216953.6563
Q9NRX4	1334474.875	979968.625	1488682.875	1411551.875	1165581.5	1222147.75	1426781.375	1792417.75	1155467.375	1214506	800222.3125	911001.625
Q9Y587	305923.125	185122.9219	413137.5938	339901.4688	271597.5	287370.4688	226819.2188	260912.1875	263257.625	250862.3125	243614.9063	182558.8594
I3L0U2		281444.5938	625459.625	443784.8438	278190.625	316413.7188	762843.25	1261709.375	841017.75	615344.0625	653729.6875	912799.375
E5RFU2	171449.9375	132535.2188	279045.25	139206.4844	198344.6875	202650.3906	185788.9531	170335.2188	212149.1719	77992.33594	168714.1094	159369.1563
Q9UKY4	22668.17969	20855.83594	17210.01367		40908.75	17390.84961		25902.78711	30948.33203	41756.50781	27729.25781	32150.9043
Q8IWF6		81124.79688	169284.0469		134761.4219	98842.46875		83430.23438	103937.2891	66274.97656	64220.5	36485.23047
Q5T5X7												
Q96HQ2		105628.7344	116097.8359					130444.4063	409240.5625	231592	254532.0781	199541.2656
Q13946				322667.2188	22654180	17253438.05	25117642	18008014	15692148	21373276	14559246	13171798
A0A0A0MSA9	222023.1094	87184.69727	280970.9141	235851.4297	261082.375	135819.2227	213516.1953	129538.4336	118674.7012	261470.7188	123197.6406	169952.1719
Q5JTV1												
P78381	271245.3125		600295.5625	249226.1406	469706.625	298275.9688		246861.4688	238504.5156	461400.625	327982.7813	243873.8594
D6RAU6	798750.75	389729.25	763779.75	760268.125	874451.8125	100598.4063	604100.125	887037.5	297926.4688	670407.75	646445.0625	215798.8906
Q86SE9				210527.3594	235225.8906	245586.6875	288773.75	163664.1406	390229.4375	388879.4375	515896.9375	490480.9063
P00846	17390318	13132741	31958368	24285306	18871836	13078555	21182710	18635846	19559174	21973766	18433014	17436956
A0A0A0MT54	2063410.25	855437.875	3762171	2375553.5	2064187.75	1226719.75	2696386.75	2921384.875	2936880.141	2559198.719	2055932.438	2202859.125
Q9Y6P5												
P00519	82905.75781		104063.0547	97916.99219		84253.71875	52759.95313	109458.7266	89327.72656	92960.39063	76995.46875	
O14713												
B7Z6A5												
P03897	2374387.25	1706786.5	3028286	3112792.25	3016765.75	1541361.375	1925067.25	3732230	2559330.25	2695892.75	2336926.25	2407053.25
O75818		25557.48828	59374.51563		27410.63281	29491.10547	37113.78906	31258.3457	49707.97656	40421.07422	44474.34766	49048.39063
P07711	716014.9375	629785		996456.6875	1280540.75	955771.0625	479251.2813	188986.6406		869628.4375	111451.3203	367834.3438
Q14964		175771.6719	321498.1563	746757.625	546758.375	237974.9844	341337.0938	243968.5938	191140.8281	530970.9375	327743.6563	239781.2969
B0QZ40	346903.5	146605.8594		381574.1563	268049.2188	236072.2031	233721.4063	346544.3125		223730.5313		126952.0547
H0YI90	217580.875	114879.0703	281431.0391	70344.5	109391.4297		80722.10156	85484.48438	160865.2969	301707.375	91883.64063	185514.4922
Q7Z7C8		25021.36133	70534.32031	36843.70703	32612.89258		109485.8984	46435.39063	332330.875	51549.26953	23004.31641	30042.52734
Q8N4S7	182025.0078	130877.168	187197.3711	149928.6094	32007.97266	108053.5391	257012.0156	142676.0566	198929.5508	266773.8477	171376.6328	143779.7402
Q8NBI6	992371.625	578340	1068061.25	1172274.625	1451702.625	915810.6875	804853.4375	697476.8125	973434.25	826219.1875	1150420.625	1012870.875
Q9Y2K1	64414.14063	60884.47266	78409.45313	28834.20508	92047.00781	79307.72656		20621.17773	118449.8281	70041.46094	97538.38281	123130.6328
Q96J88					24049.68555	26752.64648				58842.72656	70628.57031	45268.67578
Q8IX05	185774.9688	90575.67188		79241.25781	176705.4844	126556.5313	140778.4063	90892.75781	100352.5313	86836.17188	70399.52344	95594.16406
Q9UPM8												
A8MYP8												
F5GXW5												
H7C109	160462.7188	449297.6563	553731.375	191387.9531	291281.1563	301440.0625	177515.4844	641310.0625	670900.625	486772.8125	660029.8125	552207.25
P05496	503253.6816	136041.4331	3423887.148	323733.3555	317048.7148	203363.4375	1385744.973	95372.18359	288767.4775	677701.166	71262.69531	98118.61523
A8MX49	142183.1758	66329.77539	130862.8008	163474.8008	102142.8457	72285.55664	148562.2695	173973.6016	124115.3633	140897.3594	101235.8906	94719.91992
F8W0N3	96507.28906	126928.25	223747.7188	131184.8281	136775.7656	61806.0625	182452.7656	185951.2969	193416.4063	229826.2031	126487.5313	118466.2969
Q66GS9	178235.4844		541604.0625	131458.2813		226671.9063		219811.5	240996.125	141622.6719	203038.7031	182088.125
Q5VV42	353564.9063	270425.5625	281258.0938	387986.2813	426998.3125	270799.75	382334.375	272049.6563	343050.625	359071.625	383634.1875	339242.3438
Q14774	37623.37793	19974.03125	44600.45313	42118.91699	48946.53906	30130.55273	60958.07617	51257.64746	86499.30469	82471.17383	76934.13867	84107.68359
M0R3A4	403908.9063	167544.7188	331841.0313				297927	344111.9063		373357.1563		538418.9375
O14492	160521.3906	174702.0156	362328.5313	149675.4063	169067.2188	200619.9531	149868.6875	140384.9063	157230.4531	214272.875	168261.4844	159869.7813
H3BND2	57218.5	8968.417969	34422.52344		13989.9668	10435.94141	14710.44141	17621.89258	28660.70313	24884.63281	21368.04492	29764.91406
Q5T5D7	15197.88574	7416.002441	18541.17383	14242.35059	21440.625	16235.15625	9722.726563	11924.62305	24007.06445	26742.42188	43360.86719	36288.42578
O15541												
Q5MJ34	237173.9531	178499.5313	197722.3438	291654.3125	411561.2813	174535.6563	162619.4063		484235.8125			
Q9P2F9	32898.45313	37181.54297	62004.74609	46178.86328	33475.98828	26731.96973	54775.85547	58824.40625	105638.5625	117293.6094	104627.5508	87733.93359
K7EM80				286035.5	110377.0781	85891.75		4467155.5	5784142.25	2362859.5	5175471.5	1850423
E9PPA5	218813.3594		362499.0625									
E9PC47				25059.75977	12032.50977	17341.0957	35511.625	15338.54688	67766.39844			
P29084				44457.72656		58921.11719	43355.35938	117318.0078	137348.0156			
J3KN13	89508.92188		21763.20117	118360.6875	17349.91406	12776.51855					13189.09668	16968.10352
Q8WVX3	1096696.281	790457.5625	2172891.375	2478891.375	2161542.25	994119.3906	1376276.469	1183177.203	1379966.391	2330622.406	2059027.156	1702080.234
Q8IXZ2		33282.17969	99673.90625	84849.92969	110448.7891	60902.92578	54118.55859	42530.71484	81325.95313	120917	118834.1875	131741.4844
J3KS52	167531.5781	234893.9063	685031.0938	575740.4375	545455	432375.5938	356893.9063	320723.5625	397269.1563	414238.7188	389941.375	442595.375
Q9NUP1	207457.4531	135356.0469	219197.125	209487.7813	337971.9688	166839.3281	300094.2813	302592.0313		189481.3281		186662.5
F5H5V4												
P16157	1177571.25	1549292.25	2523665.25	1737484.5	2309121.25	2036528	3142991.5	1778389.375	2712766.25	2951126.75	2007474.625	2288000.5
Q9HAJ7					87309.125	105930.4609	185571.9063		222185.6719	142501.2344	56287.82813	94943.88281
K7ENY5	852132.125	533888.625	714829.75	777498	898565.375	860082.625	937722.3125	1431468.625	1169576.25	1342331	1111882.625	1029639.938
Q9BRD0					91096.80469	87655.51563				366947.8125	363019.8125	291119.875
P48552							76870.875	27299.28906	67931.53906	80836.95313	66017.26563	52708.91797
