Accession	Description	CTRL-IFN	CTRL-VIRUS	CTRL-IFN_VIRUS	IFN-VIRUS	IFN-IFN_VIRUS	VIRUS-IFN_VIRUS
Q96EV2	RNA-binding protein 33 OS=Homo sapiens OX=9606 GN=RBM33 PE=1 SV=3	0.378756855	7.146357713	-1.894760484	6.297782486	-2.661434478	-10.62494466
Q8IYM9	E3 ubiquitin-protein ligase TRIM22 OS=Homo sapiens OX=9606 GN=TRIM22 PE=1 SV=1	-2.70092025	0.383009959	-4.882794533	5.130735672	-1.823918705	-8.277169976
P40305	"Interferon alpha-inducible protein 27, mitochondrial OS=Homo sapiens OX=9606 GN=IFI27 PE=1 SV=4"	-8.286817344	0.527294711	-5.315273145	6.631224433	-0.255480074	-7.950021045
Q9H9L3	Interferon-stimulated 20 kDa exonuclease-like 2 OS=Homo sapiens OX=9606 GN=ISG20L2 PE=1 SV=1	-1.171701274	1.681572728	-2.156868734	3.796967883	-1.732553348	-7.468919676
P09914	Interferon-induced protein with tetratricopeptide repeats 1 OS=Homo sapiens OX=9606 GN=IFIT1 PE=1 SV=2	-6.906272435	0.978184562	-3.886783183	6.531191849	0.201346712	-6.853109923
P00973	2'-5'-oligoadenylate synthase 1 OS=Homo sapiens OX=9606 GN=OAS1 PE=1 SV=4	-6.630163453	0.112476049	-4.279945558	5.364145034	-0.148887157	-6.391252608
P20592	Interferon-induced GTP-binding protein Mx2 OS=Homo sapiens OX=9606 GN=MX2 PE=1 SV=1	-6.141662947	1.537287976	-3.165985496	6.197749902	0.658173498	-6.295032334
Q9BZZ2	Sialoadhesin OS=Homo sapiens OX=9606 GN=SIGLEC1 PE=1 SV=2	-7.416012094	-0.482698553	-4.030942721	5.5808823	0.429760105	-5.967883403
A0A096LNZ9	Ubiquitin-like protein ISG15 (Fragment) OS=Homo sapiens OX=9606 GN=ISG15 PE=1 SV=6	-4.527487361	0.455152335	-3.218407146	4.397163388	-0.225024955	-5.871663129
Q9UMW8	Ubl carboxyl-terminal hydrolase 18 OS=Homo sapiens OX=9606 GN=USP18 PE=1 SV=1	-8.15938243	1.320860848	-4.92211077	4.997358893	-0.209797395	-5.871663129
