Accession	Description	CTRL1	CTRL2	CTRL3	IFN1	IFN2	IFN3	VIRUS1	VIRUS2	VIRUS3	IFN_VIRUS1	IFN_VIRUS2	IFN_VIRUS3
Q96EV2	RNA-binding protein 33 OS=Homo sapiens OX=9606 GN=RBM33 PE=1 SV=3	37211.51957	81485.01452	124875.8066	86486.36839	74513.60531	50274.04677	74859.633	1742.277019	4914.868478	95631.87946	304910.6862	225608.5584
Q8IYM9	E3 ubiquitin-protein ligase TRIM22 OS=Homo sapiens OX=9606 GN=TRIM22 PE=1 SV=1	7535662.587	3879498.204	4417568.447	9609091.102	10757987.45	11726472.78	1996439.93	3767237.998	2941524.747	21754165.03	20544852.21	19320070.84
P40305	"Interferon alpha-inducible protein 27, mitochondrial OS=Homo sapiens OX=9606 GN=IFI27 PE=1 SV=4"	76522.72312	179223.1201	144175.6397	1243111.926	2012907.918	1830641.718	140759.2932	102555.4003	92568.99354	1743246.452	2158508.582	1660583.02
Q9H9L3	Interferon-stimulated 20 kDa exonuclease-like 2 OS=Homo sapiens OX=9606 GN=ISG20L2 PE=1 SV=1	504222.9914	433262.9079	4590763.536	844447.6442	918413.393	1124059.939	203224.985	174240.2491	311917.2009	1215812.218	4189019.783	3828141.119
P09914	Interferon-induced protein with tetratricopeptide repeats 1 OS=Homo sapiens OX=9606 GN=IFIT1 PE=1 SV=2	20029141.91	4194799.398	3634086.085	57940487.96	82104085.36	69117621.97	3292620.308	4594024.628	2475508.372	43767271.79	35871391.41	40989172.59
P00973	2'-5'-oligoadenylate synthase 1 OS=Homo sapiens OX=9606 GN=OAS1 PE=1 SV=4	12780821.31	4121460.825	2974713.901	41753822.83	29260920.21	38361740.86	3751697.571	4060650.457	3245181.798	37669523.87	34297338.82	35093786.35
P20592	Interferon-induced GTP-binding protein Mx2 OS=Homo sapiens OX=9606 GN=MX2 PE=1 SV=1	264905276.6	59250384	67935804.7	609406236.6	571931700.3	538745911.2	41925850.11	40508827.81	36148223.47	379358265.2	359988095.8	388499442.8
Q9BZZ2	Sialoadhesin OS=Homo sapiens OX=9606 GN=SIGLEC1 PE=1 SV=2	4195760.218	1556783.965	1915656.371	23168881.58	22589432.59	19255245.77	2052054.303	2441341.633	2700663.765	16293567.59	14593037.83	13742071.09
A0A096LNZ9	Ubiquitin-like protein ISG15 (Fragment) OS=Homo sapiens OX=9606 GN=ISG15 PE=1 SV=6	18561954.55	7967779.985	9939311.132	66644935.22	65810968.23	55112911.79	8576486.262	13542160.13	7465102.587	70282024.9	63265556.85	59748011.7
Q9UMW8	Ubl carboxyl-terminal hydrolase 18 OS=Homo sapiens OX=9606 GN=USP18 PE=1 SV=1	1900766.574	2180904.068	745112.0269	4233577.101	5318933.52	4178916.507	1312113.333	1339687.361	218336.2293	4814664.829	3952412.142	4366201.007
Q15646	2'-5'-oligoadenylate synthase-like protein OS=Homo sapiens OX=9606 GN=OASL PE=1 SV=2	605922.9013	651640.68	604624.3532	1333155.172	3317026.052	1878406.754	277370.807	248537.0175	492012.0059	1927051.612	2640083.747	2429948.367
Q9HB58	Sp110 nuclear body protein OS=Homo sapiens OX=9606 GN=SP110 PE=1 SV=5	6074808.838	2691669.245	2308990.785	15121174.73	17953867.51	15867251.07	2574719.452	2565992.814	2605397.454	22324075.45	26508107.94	20761829.64
P09913	Interferon-induced protein with tetratricopeptide repeats 2 OS=Homo sapiens OX=9606 GN=IFIT2 PE=1 SV=1	12375781.75	5504145.678	7973184.397	23465037.66	26928247.77	20952715.71	4097815	3922761.358	4032061.774	17778891.53	17348649.83	17208176.34
Q53G44	Interferon-induced protein 44-like OS=Homo sapiens OX=9606 GN=IFI44L PE=2 SV=3	497409.7341	755755.3102	429468.6605	5214141.695	6863658.7	5647153.954	869339.0942	654625.7329	542822.5941	6136597.2	7254471.371	7252636.853
Q6UWU4	Bombesin receptor-activated protein C6orf89 OS=Homo sapiens OX=9606 GN=C6orf89 PE=1 SV=1	865341.5784	357069.7944	141900.7344	200222.4661	110139.553	157546.8809	63949.09892	81883.58694	1666.879227	131883.2869	396717.773	557366.1108
Q6GPH4	XIAP-associated factor 1 OS=Homo sapiens OX=9606 GN=XAF1 PE=1 SV=1	194051.4431	96180.30315	148257.3704	1059635.174	1517731.791	1431280.285	275495.1841	154782.4196	188042.2886	1172357.787	1097545.814	1324104.854
P29728	2'-5'-oligoadenylate synthase 2 OS=Homo sapiens OX=9606 GN=OAS2 PE=1 SV=3	106623551.7	32991219.81	33403159.77	207402690.3	251255233	207463456.7	20699573.87	30992667.44	22050349.67	201083065.4	184651476.5	177958241.4
Q9UMY1	Nucleolar protein 7 OS=Homo sapiens OX=9606 GN=NOL7 PE=1 SV=2	4096062.553	2950220.972	3308740.125	3232923.976	4063220.572	3583704.677	124356.1546	292506.3884	1065980.498	496712.1757	2562766.118	1201895.994
A0A2U3TZJ3	Uncharacterized protein (Fragment) OS=Homo sapiens OX=9606 PE=4 SV=1	353447.3065	112115.0288	239588.6902	421844.0593	1448902.908	1279696.867	185134.11	262935.7237	441413.4651	902793.8224	929106.8424	1091987.329
O14879	Interferon-induced protein with tetratricopeptide repeats 3 OS=Homo sapiens OX=9606 GN=IFIT3 PE=1 SV=1	13436771.23	10037609.72	9599783.662	31701511.73	36924705.56	30797088.73	3164130.936	3745296.664	1948746.273	22331611.02	18400913.42	18165790.9
P14923	Junction plakoglobin OS=Homo sapiens OX=9606 GN=JUP PE=1 SV=3	92482.99859	120619.2841	52883.48969	123783.0015	56532.21259	47166.23938	86917.15564	2667.670107	16450.07834	58953.11501	92921.57711	92757.59843
A0A0G2JNE9	Leukocyte immunoglobulin-like receptor subfamily B member 4 OS=Homo sapiens OX=9606 GN=LILRB4 PE=1 SV=1	163318.5635	378532.8776	331751.1587	858155.2952	725562.1598	631213.0805	134221.5092	149700.247	178118.508	1187942.999	843496.6978	696176.3906
A0A3B3IRQ9	Double-stranded RNA-specific adenosine deaminase (Fragment) OS=Homo sapiens OX=9606 GN=ADAR PE=1 SV=1	2228591.561	2220286.239	2663446.906	4677672.737	5181506.732	3728330.975	1476979.274	1676645.351	2192248.019	4945445.182	5178941.251	5513760.054
A0A1W2PPV8	KAT8 regulatory NSL complex subunit 1 (Fragment) OS=Homo sapiens OX=9606 GN=KANSL1 PE=1 SV=1	143056.2774	289817.2067	249219.7321	140680.8634	204292.5158	321442.9504	131319.2987	89780.29212	34220.36527	240291.2915	691848.9575	345638.1449
